month,0,1,2
2021-01,54,60,96
2021-02,95,95,133
2021-03,149,75,263
2021-04,282,106,247
2021-05,338,148,244
2021-06,213,143,185
2021-07,108,113,129
2021-08,178,167,146
2021-09,193,253,174
2021-10,322,130,272
2021-11,390,132,277
2021-12,594,221,291
2022-01,562,278,250
2022-02,384,148,270
2022-03,506,204,436
2022-04,484,127,398
2022-05,669,376,436
2022-06,305,300,180
2022-07,178,82,52
2022-08,120,124,57
2022-09,133,113,61
2022-10,164,155,58
2022-11,160,244,150
2022-12,124,101,101
2023-01,96,41,93
2023-02,84,47,67
2023-03,60,57,41
2023-04,51,45,42
2023-05,60,47,30
2023-06,70,55,65
2023-07,86,60,105
2023-08,101,69,132
2023-09,63,77,86
2023-10,150,94,145
2023-11,234,109,296
2023-12,96,48,119
2024-01,88,80,70
2024-02,78,66,88
2024-03,142,54,142
2024-04,131,82,106
2024-05,84,41,135
2024-06,141,87,106
2024-07,163,136,128
2024-08,125,161,88
2024-09,56,73,75
2024-10,75,54,29
2024-11,133,52,97
2024-12,122,60,103
2025-01,123,105,94
2025-02,123,68,65
2025-03,89,53,46
2025-04,64,81,64
2025-05,121,85,42
