asset,observations,date_min,date_max,close_missing
ADA,226,2024-11-01,2025-06-14,0
AVAX,226,2024-11-01,2025-06-14,0
BCH,226,2024-11-01,2025-06-14,0
BNB,226,2024-11-01,2025-06-14,0
BTC,226,2024-11-01,2025-06-14,0
DOGE,226,2024-11-01,2025-06-14,0
DOT,226,2024-11-01,2025-06-14,0
ETC,226,2024-11-01,2025-06-14,0
ETH,226,2024-11-01,2025-06-14,0
LINK,226,2024-11-01,2025-06-14,0
LTC,226,2024-11-01,2025-06-14,0
SOL,226,2024-11-01,2025-06-14,0
TRX,226,2024-11-01,2025-06-14,0
XLM,226,2024-11-01,2025-06-14,0
XRP,226,2024-11-01,2025-06-14,0
