profile,treatment,feature,coefficient
conservative,T0,momentum_7,-0.031050885330988844
conservative,T0,momentum_30,0.03859728212501797
conservative,T0,volatility_14,-0.03478778360407428
conservative,T1,momentum_7,-0.03053620549336308
conservative,T1,momentum_30,0.03728031723211093
conservative,T1,volatility_14,-0.03333654822937754
conservative,T1,sentiment_exposure,0.016076435418887505
moderate,T0,momentum_7,-0.03405315737500451
moderate,T0,momentum_30,0.02286660300426756
moderate,T0,volatility_14,-0.02389144302566137
moderate,T1,momentum_7,-0.03370133998890319
moderate,T1,momentum_30,0.02196637122455162
moderate,T1,volatility_14,-0.022899428575476475
moderate,T1,sentiment_exposure,0.010989296788836382
aggressive,T0,momentum_7,-0.03615474780581545
aggressive,T0,momentum_30,0.011855127619742275
aggressive,T0,volatility_14,-0.016264004620772345
aggressive,T1,momentum_7,-0.03591693413578123
aggressive,T1,momentum_30,0.011246609019260088
aggressive,T1,volatility_14,-0.015593444817745744
aggressive,T1,sentiment_exposure,0.007428299747800596
