date,profile,treatment,rank,asset
2025-03-16,conservative,T0,1,TRX
2025-03-16,conservative,T0,2,BCH
2025-03-16,conservative,T0,3,BNB
2025-03-16,conservative,T0,4,BTC
2025-03-16,conservative,T0,5,ETC
2025-03-16,conservative,T0,6,LTC
2025-03-16,conservative,T0,7,DOT
2025-03-16,conservative,T0,8,ETH
2025-03-16,conservative,T0,9,XLM
2025-03-16,conservative,T0,10,ADA
2025-03-16,conservative,T1,1,TRX
2025-03-16,conservative,T1,2,BCH
2025-03-16,conservative,T1,3,BNB
2025-03-16,conservative,T1,4,BTC
2025-03-16,conservative,T1,5,ETC
2025-03-16,conservative,T1,6,LTC
2025-03-16,conservative,T1,7,DOT
2025-03-16,conservative,T1,8,ETH
2025-03-16,conservative,T1,9,XLM
2025-03-16,conservative,T1,10,ADA
2025-03-17,conservative,T0,1,TRX
2025-03-17,conservative,T0,2,BTC
2025-03-17,conservative,T0,3,BCH
2025-03-17,conservative,T0,4,BNB
2025-03-17,conservative,T0,5,ETC
2025-03-17,conservative,T0,6,DOT
2025-03-17,conservative,T0,7,ADA
2025-03-17,conservative,T0,8,ETH
2025-03-17,conservative,T0,9,XLM
2025-03-17,conservative,T0,10,LTC
2025-03-17,conservative,T1,1,TRX
2025-03-17,conservative,T1,2,BCH
2025-03-17,conservative,T1,3,BTC
2025-03-17,conservative,T1,4,BNB
2025-03-17,conservative,T1,5,ETC
2025-03-17,conservative,T1,6,DOT
2025-03-17,conservative,T1,7,ADA
2025-03-17,conservative,T1,8,ETH
2025-03-17,conservative,T1,9,XLM
2025-03-17,conservative,T1,10,LTC
2025-03-18,conservative,T0,1,TRX
2025-03-18,conservative,T0,2,BTC
2025-03-18,conservative,T0,3,BCH
2025-03-18,conservative,T0,4,ADA
2025-03-18,conservative,T0,5,ETC
2025-03-18,conservative,T0,6,DOT
2025-03-18,conservative,T0,7,BNB
2025-03-18,conservative,T0,8,LTC
2025-03-18,conservative,T0,9,XRP
2025-03-18,conservative,T0,10,ETH
2025-03-18,conservative,T1,1,TRX
2025-03-18,conservative,T1,2,BTC
2025-03-18,conservative,T1,3,BCH
2025-03-18,conservative,T1,4,DOT
2025-03-18,conservative,T1,5,ETC
2025-03-18,conservative,T1,6,BNB
2025-03-18,conservative,T1,7,ADA
2025-03-18,conservative,T1,8,LTC
2025-03-18,conservative,T1,9,XRP
2025-03-18,conservative,T1,10,ETH
2025-03-19,conservative,T0,1,BCH
2025-03-19,conservative,T0,2,TRX
2025-03-19,conservative,T0,3,BTC
2025-03-19,conservative,T0,4,BNB
2025-03-19,conservative,T0,5,ETC
2025-03-19,conservative,T0,6,DOT
2025-03-19,conservative,T0,7,ADA
2025-03-19,conservative,T0,8,LTC
2025-03-19,conservative,T0,9,XLM
2025-03-19,conservative,T0,10,XRP
2025-03-19,conservative,T1,1,BCH
2025-03-19,conservative,T1,2,TRX
2025-03-19,conservative,T1,3,BTC
2025-03-19,conservative,T1,4,BNB
2025-03-19,conservative,T1,5,DOT
2025-03-19,conservative,T1,6,ETC
2025-03-19,conservative,T1,7,ADA
2025-03-19,conservative,T1,8,LTC
2025-03-19,conservative,T1,9,XLM
2025-03-19,conservative,T1,10,XRP
2025-03-20,conservative,T0,1,BCH
2025-03-20,conservative,T0,2,TRX
2025-03-20,conservative,T0,3,BNB
2025-03-20,conservative,T0,4,ETC
2025-03-20,conservative,T0,5,BTC
2025-03-20,conservative,T0,6,DOT
2025-03-20,conservative,T0,7,ADA
2025-03-20,conservative,T0,8,XLM
2025-03-20,conservative,T0,9,XRP
2025-03-20,conservative,T0,10,AVAX
2025-03-20,conservative,T1,1,BCH
2025-03-20,conservative,T1,2,TRX
2025-03-20,conservative,T1,3,BNB
2025-03-20,conservative,T1,4,DOT
2025-03-20,conservative,T1,5,ETC
2025-03-20,conservative,T1,6,BTC
2025-03-20,conservative,T1,7,XLM
2025-03-20,conservative,T1,8,ADA
2025-03-20,conservative,T1,9,XRP
2025-03-20,conservative,T1,10,LTC
2025-03-21,conservative,T0,1,BCH
2025-03-21,conservative,T0,2,TRX
2025-03-21,conservative,T0,3,BNB
2025-03-21,conservative,T0,4,ADA
2025-03-21,conservative,T0,5,BTC
2025-03-21,conservative,T0,6,DOT
2025-03-21,conservative,T0,7,ETC
2025-03-21,conservative,T0,8,XLM
2025-03-21,conservative,T0,9,XRP
2025-03-21,conservative,T0,10,SOL
2025-03-21,conservative,T1,1,BCH
2025-03-21,conservative,T1,2,TRX
2025-03-21,conservative,T1,3,BNB
2025-03-21,conservative,T1,4,ADA
2025-03-21,conservative,T1,5,BTC
2025-03-21,conservative,T1,6,DOT
2025-03-21,conservative,T1,7,ETC
2025-03-21,conservative,T1,8,XLM
2025-03-21,conservative,T1,9,XRP
2025-03-21,conservative,T1,10,SOL
2025-03-22,conservative,T0,1,BCH
2025-03-22,conservative,T0,2,BNB
2025-03-22,conservative,T0,3,TRX
2025-03-22,conservative,T0,4,DOT
2025-03-22,conservative,T0,5,BTC
2025-03-22,conservative,T0,6,ADA
2025-03-22,conservative,T0,7,ETC
2025-03-22,conservative,T0,8,XRP
2025-03-22,conservative,T0,9,XLM
2025-03-22,conservative,T0,10,LTC
2025-03-22,conservative,T1,1,BCH
2025-03-22,conservative,T1,2,BNB
2025-03-22,conservative,T1,3,TRX
2025-03-22,conservative,T1,4,ADA
2025-03-22,conservative,T1,5,BTC
2025-03-22,conservative,T1,6,DOT
2025-03-22,conservative,T1,7,ETC
2025-03-22,conservative,T1,8,XRP
2025-03-22,conservative,T1,9,XLM
2025-03-22,conservative,T1,10,SOL
2025-03-23,conservative,T0,1,BCH
2025-03-23,conservative,T0,2,BNB
2025-03-23,conservative,T0,3,TRX
2025-03-23,conservative,T0,4,ETC
2025-03-23,conservative,T0,5,DOT
2025-03-23,conservative,T0,6,ADA
2025-03-23,conservative,T0,7,BTC
2025-03-23,conservative,T0,8,XRP
2025-03-23,conservative,T0,9,XLM
2025-03-23,conservative,T0,10,LTC
2025-03-23,conservative,T1,1,BCH
2025-03-23,conservative,T1,2,BNB
2025-03-23,conservative,T1,3,DOT
2025-03-23,conservative,T1,4,TRX
2025-03-23,conservative,T1,5,ETC
2025-03-23,conservative,T1,6,BTC
2025-03-23,conservative,T1,7,ADA
2025-03-23,conservative,T1,8,XRP
2025-03-23,conservative,T1,9,XLM
2025-03-23,conservative,T1,10,LTC
2025-03-24,conservative,T0,1,BCH
2025-03-24,conservative,T0,2,BNB
2025-03-24,conservative,T0,3,TRX
2025-03-24,conservative,T0,4,DOT
2025-03-24,conservative,T0,5,ETC
2025-03-24,conservative,T0,6,ADA
2025-03-24,conservative,T0,7,BTC
2025-03-24,conservative,T0,8,XRP
2025-03-24,conservative,T0,9,XLM
2025-03-24,conservative,T0,10,LTC
2025-03-24,conservative,T1,1,BCH
2025-03-24,conservative,T1,2,BNB
