regime,profile,treatment,ndcg_at_10,recall_at_10,map_at_10,n_dates,regime_label
bear,aggressive,T0,0.4366650725111565,0.5599999999999999,0.2323809523809523,5,lower-momentum
bear,aggressive,T1,0.502303604344059,0.64,0.3096507936507936,5,lower-momentum
bear,conservative,T0,0.6471337766209823,0.76,0.500968253968254,5,lower-momentum
bear,conservative,T1,0.6725597189443846,0.8,0.5272698412698412,5,lower-momentum
bear,moderate,T0,0.4845116859694761,0.64,0.2949047619047619,5,lower-momentum
bear,moderate,T1,0.500673884419802,0.6799999999999999,0.2945238095238095,5,lower-momentum
bull,aggressive,T0,0.6125165315687155,0.6943396226415095,0.4135744234800838,53,upper-momentum
bull,aggressive,T1,0.6169318970398914,0.6943396226415095,0.4186013776579814,53,upper-momentum
bull,conservative,T0,0.6277324035127365,0.7584905660377359,0.4616921233902366,53,upper-momentum
bull,conservative,T1,0.6291831818754098,0.7584905660377359,0.4683632824198861,53,upper-momentum
bull,moderate,T0,0.6082689041801094,0.709433962264151,0.438477088948787,53,upper-momentum
bull,moderate,T1,0.6165036292130999,0.7207547169811321,0.4454746930218628,53,upper-momentum
sideways,aggressive,T0,0.4099821781870911,0.4499999999999999,0.1669444444444444,4,middle-momentum
sideways,aggressive,T1,0.4080827240996513,0.4,0.1769444444444444,4,middle-momentum
sideways,conservative,T0,0.5711468646898209,0.65,0.4638888888888889,4,middle-momentum
sideways,conservative,T1,0.5501426791892711,0.65,0.4663888888888889,4,middle-momentum
sideways,moderate,T0,0.4340082472723608,0.5,0.3259722222222222,4,middle-momentum
sideways,moderate,T1,0.3947596385693026,0.45,0.2719047619047619,4,middle-momentum
